neighbourhood_name,frac_dc,frac_dc_res,frac_dc_com,frac_dc_ind,frac_dc_mix,frac_dc_inst,frac_dc_unknown
CANON RIDGE,0.0821649173090548,0.0,0.019273481698742174,0.0,0.06289143561031263,0.0,0.0
YOUNGSTOWN INDUSTRIAL,0.08140941417112238,0.0,0.08140941417112238,0.0,0.0,0.0,0.0
WEBBER GREENS,0.0805321264343495,0.0008136225816841463,4.607307044273405e-05,1.5836491666008195e-05,0.07965536413733647,0.0,1.2301532201307302e-06
GIRARD INDUSTRIAL,0.08052573269835786,0.0023665880746989404,0.07815914462365892,0.0,0.0,0.0,0.0
STEWART GREENS,0.07877939982331353,0.0,0.0,2.262907674954594e-06,0.0,0.07877713691563858,0.0
RURAL NORTH EAST HORSE HILL,0.07865056088360428,0.0,0.0,0.0,0.0,0.07865056088360428,0.0
CPR IRVINE,0.0781937459131659,0.011105247640506145,1.3301307078847252e-06,0.05831243054905637,0.008774737592895501,0.0,0.0
BRANDER GARDENS,0.0779100476421454,0.03276525971547238,0.045144787926673015,0.0,0.0,0.0,0.0
ROYAL GARDENS,0.07666867250380315,0.07666867250380315,0.0,0.0,0.0,0.0,0.0
CLOVER BAR AREA,0.07352561509284111,0.0,0.0,0.07341528462327988,0.0,0.00011033046956122415,0.0
MAPLE RIDGE INDUSTRIAL,0.07173367381237256,0.0,0.0,0.0,0.07173367381237256,0.0,0.0
STRATHCONA,0.07086672051130902,0.00859848049006019,0.03662935995342564,0.0,0.010327126984602295,0.013582592342649845,0.0017291607405710424
ATHLONE,0.07076140779040108,0.07032134380219825,0.0,0.0,0.00044006398820282293,0.0,0.0
HOMESTEADER,0.06928542518944872,0.0,0.012799136262893184,0.0,0.0,0.0,0.05648628892655553
MAGRATH HEIGHTS,0.06599591415452694,0.03078854119996126,0.0,0.0,0.03520737295456568,0.0,0.0
RURAL NORTH EAST SOUTH STURGEON,0.06530244428915928,0.00014764379378213506,0.0,0.0,0.0,0.06515480049537714,0.0
RITCHIE,0.0644378113380897,0.03807502999751621,0.0020909321813925713,0.0,0.018561413542681836,0.0013802077636661566,0.004330227852832924
KING EDWARD PARK,0.06382773211581617,0.05896516045711915,0.004018018617284511,0.0,5.214633294364844e-06,0.0008393384081181477,0.0
WEST JASPER PLACE,0.0636909835032298,0.0,0.0,0.0,0.06368678613328732,4.197369942473816e-06,0.0
DESROCHERS AREA,0.06207139576185301,0.039527296929348664,0.0,0.0,0.02254409883250435,0.0,0.0
GLENWOOD,0.061400144253480324,0.009905334340930116,0.039841800921308505,1.7037687256831605e-06,0.0020988362864158712,0.009551845909868855,6.2302623129218e-07
ALLENDALE,0.06106108740207441,0.0007628398125934843,0.0008714482234692886,0.0,0.05942679936601163,0.0,0.0
ALLARD,0.06081982769870208,0.06081982769870208,0.0,0.0,0.0,0.0,0.0
CORONET INDUSTRIAL,0.05963991283070238,0.0,0.0,0.05963991283070238,0.0,0.0,0.0
QUEEN ALEXANDRA,0.05892110961085827,0.013169569934263442,0.01751381437556551,0.0,0.028237725301029325,0.0,0.0
RIDEAU PARK,0.05767345955601606,0.032608009232947585,0.00977704250463497,0.0,0.0,0.0152883822204184,2.5598015104040187e-08
THE UPLANDS,0.056807417001088496,0.056807417001088496,0.0,0.0,0.0,0.0,0.0
HOLYROOD,0.056201367058534984,0.056201367058534984,0.0,0.0,0.0,0.0,0.0
WESTBROOK ESTATES,0.05575213026955323,0.014669615335747564,0.0,0.0,0.0,0.041082514933805665,0.0
PARSONS INDUSTRIAL,0.05441352166080367,0.0,0.0007696121006270304,0.05359872260764845,0.0,0.0,4.518695252818813e-05
KENSINGTON,0.05341392368571382,0.052372406411848475,0.0,0.0,0.0,0.0010415172738653478,0.0
WOODCROFT,0.053205202897851536,0.05085256945134747,1.540631831648041e-05,0.0,0.001579745914252069,0.00075748121393552,0.0
CLOVERDALE,0.0528053866576711,0.0,0.0,0.0,0.0,0.0,0.0528053866576711
JACKSON HEIGHTS,0.05244999778791031,0.03012051575564418,0.01415347691118343,0.0,0.0,0.008176005121082701,0.0
GOLD BAR,0.05240544930801736,0.0,0.05240544930801736,0.0,0.0,0.0,0.0
GARIEPY,0.05071837915763484,0.0,0.02535918957881742,0.0,0.0,0.0,0.02535918957881742
SECORD,0.050591630095261284,0.03153512167946039,0.019055378981085516,8.623966891753533e-07,0.0,0.0,2.670380261953707e-07
CY BECKER,0.04957847843912783,0.04957847843912783,0.0,0.0,0.0,0.0,0.0
