slug,agreement_no,url,purpose
dc1-15946,15946,https://zoningbylaw.edmonton.ca/dc1-15946,"To accommodate commercial and medium-density residential development and to promote a high-quality, integrated built form by adhering to architectural and urban design standards complementary to the prominence of the site as part of the Lewis Farms Town Centre."
dc1-15964,15964,https://zoningbylaw.edmonton.ca/dc1-15964,"To provide a district for low density residential housing (”reverse housing”) whereby single detached residential uses front onto a multi-use trail and stormwater management facility and vehicular access at the rear of the property is provided by a public rear Lane roadway, providing an opportunity for a unique pedestrian-oriented development with architectural and urban design standards."
dc1-16022,16022,https://zoningbylaw.edmonton.ca/dc1-16022,The purpose of this Zone is to provide the opportunity for more efficient utilization of suburban areas through increased density of Single Detached Housing and by eliminating the requirement of one Side Yard per lot.
dc1-16084,16084,https://zoningbylaw.edmonton.ca/dc1-16084,"The purpose of this Zone is to allow for a more compact form of ground oriented residential development with attached garages that provides opportunity for Single Detached and Semi-detached Housing, and Secondary Suites."
dc1-16129,16129,https://zoningbylaw.edmonton.ca/dc1-16129,"The purpose of this Provision is to accommodate the creation of large lot, single detached residential development with full municipal services that establishes a transition and harmonious landscape relative to adjacent existing County Residential Estate development."
dc1-16179,16179,https://zoningbylaw.edmonton.ca/dc1-16179,The purpose of this (DC1) Direct Development Control Provision is to accommodate a single detached residential development in a rural setting with appropriate development criteria to ensure compatibility with the character of the adjacent properties.
dc1-16201,16201,https://zoningbylaw.edmonton.ca/dc1-16201,"The purpose of this Zone is to allow for a more intensive form of ground oriented residential development with attached garages that provides opportunity for Single Detached, Semi-detached Housing, and Secondary Suites."
dc1-16225,16225,https://zoningbylaw.edmonton.ca/dc1-16225,"This Provision is designed to accommodate the use and preservation of the Patrick Harvey Ashby Residence. This provision allows a Residential use within the existing building, while ensuring that any future alterations or construction of Accessory buildings are compatible with the architectural elements of the existing building."
dc1-16254,16254,https://zoningbylaw.edmonton.ca/dc1-16254,"To accommodate commercial and medium-density residential development and to promote a high-quality, integrated built form by adhering to architectural and urban design standards complementary to the prominence of the site as part of the Granville Neighborhood."
dc1-16261,16261,https://zoningbylaw.edmonton.ca/dc1-16261,"This Provision is designed to accommodate the use and preservation of the Otto Reiher Cottage, a Municipal Historic Resource. This provision allows a Residential use within the existing building, while ensuring that any future alterations to the Residence and existing Accessory building are compatible with the designation of this building as a Municipal Historic Resource."
dc1-16270,16270,https://zoningbylaw.edmonton.ca/dc1-16270,"The purpose of this Provision is to accommodate the creation of large lot, single detached residential development with full municipal services that establishes a transition and harmonious landscape relative to adjacent existing Country Residential Estate Development."
dc1-16281,16281,https://zoningbylaw.edmonton.ca/dc1-16281,"To accommodate low intensity commercial and residential mixed-use development and limit the range of commercial uses. To complement nearby Community Commercial, retail space shall not be provided on this site. Commercial uses are permitted on the first and second Storeys only. A mix of residential and commercial uses shall be maintained within both Area 1 and Area 2 of this site, as shown on"
dc1-16322,16322,https://zoningbylaw.edmonton.ca/dc1-16322,"This provision is designed to accommodate the use and preservation of the Marshall McLuhan Residence. This provision allows limited Residential, Commercial and Cultural Services uses within the Residence, while ensuring that any future alterations or construction are compatible with the architectural elements and historical significance of the Residence."
dc1-16343,16343,https://zoningbylaw.edmonton.ca/dc1-16343,The purpose of this Zone is to provide the opportunity for more efficient utilization of suburban areas through increased density of Single Detached Housing and by eliminating the requirement of one Side Yard per lot.
dc1-16367,16367,https://zoningbylaw.edmonton.ca/dc1-16367,"The purpose of this Zone is to allow for an intensive form of ground oriented residential development with attached Garages, providing opportunity for Single Detached Housing, Semi-detached Housing, and Secondary Suites."
dc1-16399,16399,https://zoningbylaw.edmonton.ca/dc1-16399,The purpose of this Zone is to provide the opportunity for more efficient utilization of suburban areas through increased density of Single Detached Housing by reducing one Side Yard Setback to zero metres.
dc1-16445,16445,https://zoningbylaw.edmonton.ca/dc1-16445,The purpose of this DC1 Direct Development Control Provision is to provide for business and commercial uses on sites with good visibility and accessibility along 137 Avenue and 142 Street.
dc1-16471,16471,https://zoningbylaw.edmonton.ca/dc1-16471,"To accommodate the development of medium density Residential with ground floor low-intensity pedestrian-oriented Commercial Uses where Residential Uses shall be permitted to be developed on their own, and where any Commercial Uses must be developed in combination with Residential development."
dc1-16473,16473,https://zoningbylaw.edmonton.ca/dc1-16473,"The purpose of this Provision is to accommodate the creation of large lot, single detached residential development with full municipal services that establishes a transition and harmonious landscape relative to adjacent existing Country Residential Estate development."
dc1-16535,16535,https://zoningbylaw.edmonton.ca/dc1-16535,"To establish a Direct Development Control Provision to provide for a limited range of Uses with development regulations that are suitable for the restoration and adaptive reuse, including the development of a sensitive addition and below grade parking structure, to a Provincially Designated Historic Resource (Le Marchand Mansion). 2. Area of Applicability This Provision shall apply to Lot 100, Block 15, Plan 1223405, located east of 116 Street NW and south of 100 Avenue NW, as shown on Schedule “A” of this Bylaw adopting this Provision, Oliver."
dc1-16547,16547,https://zoningbylaw.edmonton.ca/dc1-16547,"This Provision is designed to accommodate the preservation and rehabilitation of the Kelly Ramsey facades while providing for the comprehensive redevelopment of the Kelly Ramsey block as a high density and quality development that accommodates office, retail, service, institutional, residential, arts and entertainment Uses and meet the land use objectives for the Commercial Cultural Core."
dc1-16602,16602,https://zoningbylaw.edmonton.ca/dc1-16602,"of this Provision and would not adversely affect the amenities, use and enjoyment of neighbouring properties. Bylaw attachments Bylaw 16601 -"
dc1-16613,16613,https://zoningbylaw.edmonton.ca/dc1-16613,"To accommodate the development of a range of complementary business employment Uses. This Provision provides development controls and urban design regulations and guidelines to establish a high quality urban environment, to ensure that the development is well integrated with the adjacent Ambleside neighbourhood and to create an aesthetic and architecturally appealing development."
dc1-16693,16693,https://zoningbylaw.edmonton.ca/dc1-16693,The purpose of this Zone is to provide for Single Detached and Duplex Housing with attached Garages in a suburban setting that provides smaller lot sizes with reduced site widths allowing for a more efficient utilization of undeveloped land.
